dataset	model	lang1	lang2	mrr
nusax	mbert_cls	madurese	ngaju	0.049298433834192974
nusax	mbert_cls	madurese	javanese	0.03934674928193192
nusax	mbert_cls	madurese	minangkabau	0.030003850426111197
nusax	mbert_cls	madurese	toba_batak	0.044847609590038244
nusax	mbert_cls	madurese	english	0.0003767125870513273
nusax	mbert_cls	madurese	indonesian	0.015870883249147857
nusax	mbert_cls	balinese	sundanese	0.09048601887334279
nusax	mbert_cls	balinese	banjarese	0.06512136176485538
nusax	mbert_cls	balinese	acehnese	0.036773055705547474
nusax	mbert_cls	balinese	madurese	0.046259248532565994
nusax	mbert_cls	balinese	balinese	0.0
nusax	mbert_cls	balinese	buginese	0.012257978040326148
nusax	mbert_cls	balinese	ngaju	0.05719296290412023
nusax	mbert_cls	balinese	javanese	0.12951406013469882
nusax	mbert_cls	balinese	minangkabau	0.06319681606008858
nusax	mbert_cls	balinese	toba_batak	0.026632024864628703
nusax	mbert_cls	balinese	english	0.00019030738188460634
nusax	mbert_cls	balinese	indonesian	0.05343544421122438
nusax	mbert_cls	buginese	sundanese	0.011551439976501907
nusax	mbert_cls	buginese	banjarese	0.02251549148880641
nusax	mbert_cls	buginese	acehnese	0.02605811418422526
nusax	mbert_cls	buginese	madurese	0.04977063063873446
nusax	mbert_cls	buginese	balinese	0.021359066579506914
nusax	mbert_cls	buginese	buginese	0.0
nusax	mbert_cls	buginese	ngaju	0.019996154113089998
nusax	mbert_cls	buginese	javanese	0.013413256144307082
nusax	mbert_cls	buginese	minangkabau	0.01228263079211225
nusax	mbert_cls	buginese	toba_batak	0.03102877483102138
nusax	mbert_cls	buginese	english	0.0002779939711306713
nusax	mbert_cls	buginese	indonesian	0.004587676095860533
nusax	mbert_cls	ngaju	sundanese	0.03414348862916545
nusax	mbert_cls	ngaju	banjarese	0.06620818771024198
nusax	mbert_cls	ngaju	acehnese	0.0500177028235569
nusax	mbert_cls	ngaju	madurese	0.04809658806305642
nusax	mbert_cls	ngaju	balinese	0.06525168282529727
nusax	mbert_cls	ngaju	buginese	0.012830269210034155
nusax	mbert_cls	ngaju	ngaju	0.0
nusax	mbert_cls	ngaju	javanese	0.03874575602584089
nusax	mbert_cls	ngaju	minangkabau	0.0373949521144351
nusax	mbert_cls	ngaju	toba_batak	0.023618696918127482
nusax	mbert_cls	ngaju	english	0.0001211246324988978
nusax	mbert_cls	ngaju	indonesian	0.03792919006931179
nusax	mbert_cls	javanese	sundanese	0.13940781638889055
nusax	mbert_cls	javanese	banjarese	0.04595162205282848
nusax	mbert_cls	javanese	acehnese	0.022681986636424022
nusax	mbert_cls	javanese	madurese	0.03111904030445547
