Classification	ID	Name
mand1469/west2780/samo1308/soni1257/bozo1252	nucl1444	Nuclear Bozo
mand1469/west2780/samo1308/soni1257/bozo1252/nucl1444	tibo1240	Ti-Bozo
mand1469/west2780/mand1431	sout2842	Southwest Mande
mand1469/west2780/mand1431	cent2047	Central Mande
mand1469/west2780/mand1431/sout2842	kpel1252	Kpelle
mand1469/west2780/mand1431/sout2842	mend1263	Mende-Loma
mand1469/west2780/mand1431/sout2842/mend1263	mend1264	Mende-Bandi
mand1469/west2780/mand1431/sout2842/mend1263	loma1259	Loma
mand1469/west2780/mand1431/sout2842/mend1263/mend1264	mend1265	Mende-Loko
mand1469/west2780/mand1431/sout2842/mend1263/mend1264	band1351	Bandi-Zialo
mand1469/west2780/mand1431/cent2047	susu1249	Susu-Yalunka
mand1469/west2780/mand1431/cent2047	mand1432	Manding-Jogo
mand1469/west2780/mand1431/cent2047/mand1432	jogo1241	Jogo-Jeri
mand1469/west2780/mand1431/cent2047/mand1432	mand1433	Manding-Vai
mand1469/west2780/mand1431/cent2047/mand1432/jogo1241	jogo1242	Jogo
mand1469/west2780/mand1431/cent2047/mand1432/jogo1241	jeri1241	Jeri
mand1469/west2780/mand1431/cent2047/mand1432/mand1433	mand1434	Manding-Mokole
mand1469/west2780/mand1431/cent2047/mand1432/mand1433	vaik1238	Vai-Kono
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434	nucl1445	Nuclear Mokole
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434	mand1435	Manding
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/nucl1445	mixi1243	Mixiforic
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435	west2499	West Manding
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435	east2425	East Manding
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435/west2499	xaso1239	Xasonka
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435/west2499	kita1248	Kita-Kagoro
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435/east2425	mani1303	Maninka-Mori
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435/east2425	mane1267	Manenkan
mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435/east2425/mani1303	koro1315	Koro-Koyaga
koma1264	opuu1238	Central Koman
